,Unnamed: 0,article,simpSent,StandSent,typeOfMatch,standSent,predicted
15,18,Alphonse_Mucha,Bernhardt was so satisfied with the success of this first poster that she began a six-year contract with Mucha .,,1,Bernhardt was so satisfied with the success of this first poster that she entered into a 6 year contract with Mucha .,
16,19,Alphonse_Mucha,Bernhardt was so satisfied with the success of this first poster that she began a six-year contract with Mucha .,,0,"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewellery , carpets , wallpaper , and theater sets in what was initially called the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) .",
17,20,Alphonse_Mucha,"About Christmas 1894 , Mucha happened to go into a print shop where there was a sudden and unexpected need for a new advertising poster for a play featuring Sarah Bernhardt , the most famous actress in Paris , at the Théâtre de la Renaissance on the Boulevard Saint-Martin .",,0,"He produced many paintings , illustrations , advertisements , and designs .",
18,21,Alphonse_Mucha,"About Christmas 1894 , Mucha happened to go into a print shop where there was a sudden and unexpected need for a new advertising poster for a play featuring Sarah Bernhardt , the most famous actress in Paris , at the Théâtre de la Renaissance on the Boulevard Saint-Martin .",,0,"Mucha moved to Paris in 1887 , continued his studies , and worked at producing magazine and advertising illustrations .",
19,22,Alphonse_Mucha,"About Christmas 1894 , Mucha happened to go into a print shop where there was a sudden and unexpected need for a new advertising poster for a play featuring Sarah Bernhardt , the most famous actress in Paris , at the Théâtre de la Renaissance on the Boulevard Saint-Martin .",,1,"Around Christmas 1894 , Mucha happened to drop into a print shop where there was a sudden and unexpected need for a new advertising poster for a play starring Sarah Bernhardt , the most famous actress in Paris .",
20,23,Alphonse_Mucha,"About Christmas 1894 , Mucha happened to go into a print shop where there was a sudden and unexpected need for a new advertising poster for a play featuring Sarah Bernhardt , the most famous actress in Paris , at the Théâtre de la Renaissance on the Boulevard Saint-Martin .",,0,"Mucha volunteered to produce a lithographed poster within two weeks , and on 1 January 1895 , the advertisement for the play Gismonda by Victorien Sardou appeared on the streets of the city .",
21,24,Alphonse_Mucha,In contrast with contemporary poster makers he used pale pastel colors .,,0,"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewellery , carpets , wallpaper , and theater sets in what was initially called the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) .",
22,25,Alphonse_Mucha,In contrast with contemporary poster makers he used pale pastel colors .,,0,"Mucha 's works frequently featured beautiful , strong young women in flowing vaguely Neoclassical looking robes , often surrounded by lush flowers which sometimes formed halos behind the women 's heads .",
23,26,Alphonse_Mucha,In contrast with contemporary poster makers he used pale pastel colors .,,1,In contrast with contemporary poster makers he used pale pastel colors .,
24,27,Alphonse_Mucha,In contrast with contemporary poster makers he used pale pastel colors .,,0,"The 1900 Paris Exhibition spread the `` Mucha style '' abroad , of which Mucha said `` I think ( the Exposition Universelle ) made some contribution toward bringing aesthetic values into arts and crafts . ''",
25,28,Alphonse_Mucha,"The Art Nouveau style however , was one that Mucha attempted to disassociate himself from throughout his life ; he always insisted that rather than maintaining any fashionable stylistic form , his paintings were entirely a product of himself and Czech art .",,0,Mucha 's Art Nouveau style was often imitated .,
26,29,Alphonse_Mucha,"The Art Nouveau style however , was one that Mucha attempted to disassociate himself from throughout his life ; he always insisted that rather than maintaining any fashionable stylistic form , his paintings were entirely a product of himself and Czech art .",,0,"The Art Nouveau style however , was one that Mucha attempted to distance himself from .",
27,30,Alphonse_Mucha,"The Art Nouveau style however , was one that Mucha attempted to disassociate himself from throughout his life ; he always insisted that rather than maintaining any fashionable stylistic form , his paintings were entirely a product of himself and Czech art .",,1,He always insisted that his paintings came purely from within and from Czech art .,
28,31,Alphonse_Mucha,"The Art Nouveau style however , was one that Mucha attempted to disassociate himself from throughout his life ; he always insisted that rather than maintaining any fashionable stylistic form , his paintings were entirely a product of himself and Czech art .",,0,"He declared that art existed only to communicate a spiritual message , and nothing more .",
29,32,Alphonse_Mucha,"The 1900 Universal Exhibition in Paris spread the `` Mucha style '' internationally , of which Mucha said `` I think ( the Exposition Universelle ) made some contribution toward bringing aesthetic values into arts and crafts . ''",,0,"Mucha 's works frequently featured beautiful , strong young women in flowing vaguely Neoclassical looking robes , often surrounded by lush flowers which sometimes formed halos behind the women 's heads .",
30,33,Alphonse_Mucha,"The 1900 Universal Exhibition in Paris spread the `` Mucha style '' internationally , of which Mucha said `` I think ( the Exposition Universelle ) made some contribution toward bringing aesthetic values into arts and crafts . ''",,0,In contrast with contemporary poster makers he used pale pastel colors .,
31,34,Alphonse_Mucha,"The 1900 Universal Exhibition in Paris spread the `` Mucha style '' internationally , of which Mucha said `` I think ( the Exposition Universelle ) made some contribution toward bringing aesthetic values into arts and crafts . ''",,1,"The 1900 Paris Exhibition spread the `` Mucha style '' abroad , of which Mucha said `` I think ( the Exposition Universelle ) made some contribution toward bringing aesthetic values into arts and crafts . ''",
32,35,Alphonse_Mucha,"The 1900 Universal Exhibition in Paris spread the `` Mucha style '' internationally , of which Mucha said `` I think ( the Exposition Universelle ) made some contribution toward bringing aesthetic values into arts and crafts . ''",,0,He decorated the Bosnia and Herzegovina Pavilion and collaborated in the Austrian Pavilion .,
33,36,Alphonse_Mucha,His Art Nouveau style was often imitated .,,0,"The 1900 Paris Exhibition spread the `` Mucha style '' abroad , of which Mucha said `` I think ( the Exposition Universelle ) made some contribution toward bringing aesthetic values into arts and crafts . ''",
34,37,Alphonse_Mucha,His Art Nouveau style was often imitated .,,0,He decorated the Bosnia and Herzegovina Pavilion and collaborated in the Austrian Pavilion .,
35,38,Alphonse_Mucha,His Art Nouveau style was often imitated .,,1,Mucha 's Art Nouveau style was often imitated .,
36,39,Alphonse_Mucha,His Art Nouveau style was often imitated .,,0,"The Art Nouveau style however , was one that Mucha attempted to distance himself from .",
37,40,Alphonse_Mucha,It believes that the common interests of the nation have a higher value than the interests of individual people .,,0,supports making Latvian citizenship laws more restrictive for non-citizens .,
38,41,Alphonse_Mucha,It believes that the common interests of the nation have a higher value than the interests of individual people .,,0,The party is opposed to European federalism .,
39,42,Alphonse_Mucha,"Alfons Maria Mucha ( Czech pronunciation : ( ?alfons ?muxa ) ( listen ) ; 24 July 1860 - 14 July 1939 ) , known in English as Alphonse Mucha , was a Czech Art Nouveau painter and decorative artist , known best for his distinct style .",,1,"Alphonse Mucha , ( 24 July 1860 - 14 July 1939 ) , was a Czech Art Nouveau painter and decorative artist , best known for his distinct style and his images of women .",
40,43,Alphonse_Mucha,"Alfons Maria Mucha ( Czech pronunciation : ( ?alfons ?muxa ) ( listen ) ; 24 July 1860 - 14 July 1939 ) , known in English as Alphonse Mucha , was a Czech Art Nouveau painter and decorative artist , known best for his distinct style .",,0,"He produced many paintings , illustrations , advertisements , and designs .",
41,44,Alphonse_Mucha,"He declared that art existed only to communicate a spiritual message , and nothing more ; hence his frustration at the fame he gained by his commercial art , when he most wanted to concentrate on more artistic projects .",,0,"The Art Nouveau style however , was one that Mucha attempted to distance himself from .",
42,45,Alphonse_Mucha,"He declared that art existed only to communicate a spiritual message , and nothing more ; hence his frustration at the fame he gained by his commercial art , when he most wanted to concentrate on more artistic projects .",,0,He always insisted that his paintings came purely from within and from Czech art .,
43,46,Alphonse_Mucha,"He declared that art existed only to communicate a spiritual message , and nothing more ; hence his frustration at the fame he gained by his commercial art , when he most wanted to concentrate on more artistic projects .",,1,"He declared that art existed only to communicate a spiritual message , and nothing more .",
44,47,Alphonse_Mucha,"He declared that art existed only to communicate a spiritual message , and nothing more ; hence his frustration at the fame he gained by his commercial art , when he most wanted to concentrate on more artistic projects .",,1,"He was frustrated at the fame he gained through commercial art , when he most wanted to concentrate on more lofty projects that would ennoble art and his birthplace .",
45,51,Alphonse_Mucha,"Mucha married Maruška ( Marie\/Maria ) Chytilová on 10 June 1906 , in Prague .",,0,"Alphonse Mucha , ( 24 July 1860 - 14 July 1939 ) , was a Czech Art Nouveau painter and decorative artist , best known for his distinct style and his images of women .",
46,52,Alphonse_Mucha,"Mucha 's works frequently featured beautiful young women in flowing , vaguely Neoclassical-looking robes , often surrounded by lush flowers which sometimes formed halos behind their heads .",,0,Bernhardt was so satisfied with the success of this first poster that she entered into a 6 year contract with Mucha .,
47,53,Alphonse_Mucha,"Mucha 's works frequently featured beautiful young women in flowing , vaguely Neoclassical-looking robes , often surrounded by lush flowers which sometimes formed halos behind their heads .",,0,"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewellery , carpets , wallpaper , and theater sets in what was initially called the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) .",
48,54,Alphonse_Mucha,"Mucha 's works frequently featured beautiful young women in flowing , vaguely Neoclassical-looking robes , often surrounded by lush flowers which sometimes formed halos behind their heads .",,1,"Mucha 's works frequently featured beautiful , strong young women in flowing vaguely Neoclassical looking robes , often surrounded by lush flowers which sometimes formed halos behind the women 's heads .",
49,55,Alphonse_Mucha,"Mucha 's works frequently featured beautiful young women in flowing , vaguely Neoclassical-looking robes , often surrounded by lush flowers which sometimes formed halos behind their heads .",,0,In contrast with contemporary poster makers he used pale pastel colors .,
50,56,Alphonse_Mucha,He decorated the Bosnia and Herzegovina Pavilion and collaborated with decorating the Austrian Pavilion .,,0,In contrast with contemporary poster makers he used pale pastel colors .,
51,57,Alphonse_Mucha,He decorated the Bosnia and Herzegovina Pavilion and collaborated with decorating the Austrian Pavilion .,,0,"The 1900 Paris Exhibition spread the `` Mucha style '' abroad , of which Mucha said `` I think ( the Exposition Universelle ) made some contribution toward bringing aesthetic values into arts and crafts . ''",
52,58,Alphonse_Mucha,He decorated the Bosnia and Herzegovina Pavilion and collaborated with decorating the Austrian Pavilion .,,1,He decorated the Bosnia and Herzegovina Pavilion and collaborated in the Austrian Pavilion .,
53,59,Alphonse_Mucha,He decorated the Bosnia and Herzegovina Pavilion and collaborated with decorating the Austrian Pavilion .,,0,Mucha 's Art Nouveau style was often imitated .,
54,60,Alphonse_Mucha,"Mucha moved to Paris in 1887 , and continued his studies at Académie Julian and Académie Colarossi .",,0,"Alphonse Mucha , ( 24 July 1860 - 14 July 1939 ) , was a Czech Art Nouveau painter and decorative artist , best known for his distinct style and his images of women .",
55,61,Alphonse_Mucha,"Mucha moved to Paris in 1887 , and continued his studies at Académie Julian and Académie Colarossi .",,0,"He produced many paintings , illustrations , advertisements , and designs .",
56,62,Alphonse_Mucha,"Mucha moved to Paris in 1887 , and continued his studies at Académie Julian and Académie Colarossi .",,1,"Mucha moved to Paris in 1887 , continued his studies , and worked at producing magazine and advertising illustrations .",
57,63,Alphonse_Mucha,"Mucha moved to Paris in 1887 , and continued his studies at Académie Julian and Académie Colarossi .",,0,"Around Christmas 1894 , Mucha happened to drop into a print shop where there was a sudden and unexpected need for a new advertising poster for a play starring Sarah Bernhardt , the most famous actress in Paris .",
58,64,Alphonse_Mucha,"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewelry , carpets , wallpaper , and theater sets in what was termed initially the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) .",,0,It was an overnight sensation and announced the new artistic style and its creator to the citizens of Paris .,
59,65,Alphonse_Mucha,"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewelry , carpets , wallpaper , and theater sets in what was termed initially the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) .",,0,Bernhardt was so satisfied with the success of this first poster that she entered into a 6 year contract with Mucha .,
60,66,Alphonse_Mucha,"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewelry , carpets , wallpaper , and theater sets in what was termed initially the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) .",,1,"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewellery , carpets , wallpaper , and theater sets in what was initially called the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) .",
61,67,Alphonse_Mucha,"Mucha produced a flurry of paintings , posters , advertisements , and book illustrations , as well as designs for jewelry , carpets , wallpaper , and theater sets in what was termed initially the Mucha Style but became known as Art Nouveau ( French for ` new art ' ) .",,0,"Mucha 's works frequently featured beautiful , strong young women in flowing vaguely Neoclassical looking robes , often surrounded by lush flowers which sometimes formed halos behind the women 's heads .",
62,68,Ashtown_Castle,"But as that was being demolished , Ashtown castle was discovered .",,0,"In 1978 , the building was in bad shape .",
63,69,Ashtown_Castle,"But as that was being demolished , Ashtown castle was discovered .",,0,It could not be repaired .,
64,70,Ashtown_Castle,"But as that was being demolished , Ashtown castle was discovered .",,1,"When they started to break down the building , they found the towerhouse inside the bigger building .",
65,71,Ashtown_Castle,"But as that was being demolished , Ashtown castle was discovered .",,0,It was restored to its old form .,
66,72,Ashtown_Castle,The castle was later incorporated into the construction of Ashtown Lodge which was to serve as the official residence of the Under Secretary from 1782 .,,0,It might date back as far as 1430 .,
67,73,Ashtown_Castle,The castle was later incorporated into the construction of Ashtown Lodge which was to serve as the official residence of the Under Secretary from 1782 .,,0,The roof dates from the 17th century .,
68,74,Ashtown_Castle,The castle was later incorporated into the construction of Ashtown Lodge which was to serve as the official residence of the Under Secretary from 1782 .,,1,"After the building was made bigger and improved , it was used as the house for the Under Secretary of Ireland from 1782 .",
69,75,Ashtown_Castle,The castle was later incorporated into the construction of Ashtown Lodge which was to serve as the official residence of the Under Secretary from 1782 .,,0,"In 1922 , it became the house for the first United States ambassador to Ireland .",
70,76,Ashtown_Castle,"At that time , the more recent and larger building was deemed structurally irreparable due to dry rot .",,0,"In 1922 , it became the house for the first United States ambassador to Ireland .",
71,77,Ashtown_Castle,"At that time , the more recent and larger building was deemed structurally irreparable due to dry rot .",,0,"After the ambassador moved to the Chief Secretary 's Lodge , the Papal nuncio used the building until 1978 when he moved .",
72,78,Ashtown_Castle,"At that time , the more recent and larger building was deemed structurally irreparable due to dry rot .",,1,"In 1978 , the building was in bad shape .",
73,79,Ashtown_Castle,"At that time , the more recent and larger building was deemed structurally irreparable due to dry rot .",,1,It could not be repaired .,
74,83,Ashtown_Castle,"At that time , the more recent and larger building was deemed structurally irreparable due to dry rot .",,0,"When they started to break down the building , they found the towerhouse inside the bigger building .",
75,84,Ashtown_Castle,"She has also booked a two-episode arc in the fifth season of FX 's Sons of Anarchy in which she will portray Emma Jean , a desireble and high-priced escort .",,0,Her sister Jennifer Tisdale is also an actor .,
76,85,Ashtown_Castle,"She has also booked a two-episode arc in the fifth season of FX 's Sons of Anarchy in which she will portray Emma Jean , a desireble and high-priced escort .",,0,Her parents are Mike Tisdale and Lisa Tisdale .,
77,86,Ashtown_Castle,Ashtown Castle is a fortified house in the Phoenix Park in Dublin .,,1,Ashtown Castle is a towerhouse in the Phoenix Park in Dublin .,
78,87,Ashtown_Castle,Ashtown Castle is a fortified house in the Phoenix Park in Dublin .,,0,It is now part of the Phoenix Park Visitor Centre .,
79,88,Ashtown_Castle,It was found hidden within the walls of a much larger and more recent building that was being used by the Papal Nuncio until 1978 .,,0,"After the building was made bigger and improved , it was used as the house for the Under Secretary of Ireland from 1782 .",
80,89,Ashtown_Castle,It was found hidden within the walls of a much larger and more recent building that was being used by the Papal Nuncio until 1978 .,,0,"In 1922 , it became the house for the first United States ambassador to Ireland .",
81,90,Ashtown_Castle,It was found hidden within the walls of a much larger and more recent building that was being used by the Papal Nuncio until 1978 .,,1,"After the ambassador moved to the Chief Secretary 's Lodge , the Papal nuncio used the building until 1978 when he moved .",
82,91,Ashtown_Castle,It was found hidden within the walls of a much larger and more recent building that was being used by the Papal Nuncio until 1978 .,,0,"In 1978 , the building was in bad shape .",
83,93,Ashtown_Castle,It was found hidden within the walls of a much larger and more recent building that was being used by the Papal Nuncio until 1978 .,,0,It could not be repaired .,
84,94,Ashtown_Castle,It was found hidden within the walls of a much larger and more recent building that was being used by the Papal Nuncio until 1978 .,,1,"When they started to break down the building , they found the towerhouse inside the bigger building .",
85,95,Ashtown_Castle,It was found hidden within the walls of a much larger and more recent building that was being used by the Papal Nuncio until 1978 .,,0,It was restored to its old form .,
86,96,Ashtown_Castle,"It is thought to originally date from the 1430s , as it is built to dimensions that conform with a government policy of the time who offered # 10 to those who built a castle for their own safety .",,0,It is now part of the Phoenix Park Visitor Centre .,
87,97,Ashtown_Castle,"It is thought to originally date from the 1430s , as it is built to dimensions that conform with a government policy of the time who offered # 10 to those who built a castle for their own safety .",,0,It is not clear when the castle was first built .,
88,98,Ashtown_Castle,"It is thought to originally date from the 1430s , as it is built to dimensions that conform with a government policy of the time who offered # 10 to those who built a castle for their own safety .",,1,It might date back as far as 1430 .,
89,99,Ashtown_Castle,"It is thought to originally date from the 1430s , as it is built to dimensions that conform with a government policy of the time who offered # 10 to those who built a castle for their own safety .",,0,The roof dates from the 17th century .,
90,100,Ashtown_Castle,It has now been restored and forms part of the Phoenix Park Visitor Centre .,,0,It could not be repaired .,
91,101,Ashtown_Castle,It has now been restored and forms part of the Phoenix Park Visitor Centre .,,0,"When they started to break down the building , they found the towerhouse inside the bigger building .",
92,102,Ashtown_Castle,It has now been restored and forms part of the Phoenix Park Visitor Centre .,,1,It was restored to its old form .,
93,103,Ashtown_Castle,"It is thought to originally date from the 1430s , as it is built to dimensions that conform with a government policy of the time who offered # 10 to those who built a castle for their own safety .",,0,Ashtown Castle is a towerhouse in the Phoenix Park in Dublin .,
94,104,Archivist,"Archivists must also select records valuable enough to justify the costs of storage and preservation , plus the labor intensive expenses of arrangement , description , and reference service .",,0,"As Richard Pearce-Moses wrote , `` Archivists keep records that have enduring value as reliable memories of the past , and they help people find and understand the information they need in those records . ''",
95,105,Archivist,"Archivists must also select records valuable enough to justify the costs of storage and preservation , plus the labor intensive expenses of arrangement , description , and reference service .",,0,Determining what records have enduring value is not always easy .,
96,106,Archivist,"Archivists must also select records valuable enough to justify the costs of storage and preservation , plus the labor intensive expenses of arrangement , description , and reference service .",,1,"Archivists must also select records valuable enough to justify the costs of storage and preservation , plus the labor intensive expenses of arrangement , description , and reference service .",
97,107,Archivist,"Archivists must also select records valuable enough to justify the costs of storage and preservation , plus the labor intensive expenses of arrangement , description , and reference service .",,0,The theory and scholarly work underpinning archives practices is called archival science .,
98,108,Archivist,The theory and scholarly work underpinning archives practices is called archival science .,,0,Determining what records have enduring value is not always easy .,
99,109,Archivist,The theory and scholarly work underpinning archives practices is called archival science .,,0,"Archivists must also select records valuable enough to justify the costs of storage and preservation , plus the labor intensive expenses of arrangement , description , and reference service .",
100,110,Archivist,The theory and scholarly work underpinning archives practices is called archival science .,,1,The theory and scholarly work underpinning archives practices is called archival science .,
101,111,Archivist,"Archivists ' duties include acquiring and appraising new collections , arranging and describing records , providing reference service , and preserving materials .",,0,"An archivist is a professional who collects , organizes , preserves , maintains control over , and provides access to information determined to have long-term value .",
102,112,Archivist,"Archivists ' duties include acquiring and appraising new collections , arranging and describing records , providing reference service , and preserving materials .",,0,"As Richard Pearce-Moses wrote , `` Archivists keep records that have enduring value as reliable memories of the past , and they help people find and understand the information they need in those records . ''",
103,113,Archivist,"Archivists ' duties include acquiring and appraising new collections , arranging and describing records , providing reference service , and preserving materials .",,0,Determining what records have enduring value is not always easy .,
104,114,Archivist,"Archivists ' duties include acquiring and appraising new collections , arranging and describing records , providing reference service , and preserving materials .",,1,"Archivists must also select records valuable enough to justify the costs of storage and preservation , plus the labor intensive expenses of arrangement , description , and reference service .",
105,115,Archivist,"Archivists ' duties include acquiring and appraising new collections , arranging and describing records , providing reference service , and preserving materials .",,0,The theory and scholarly work underpinning archives practices is called archival science .,
106,116,Archivist,after the Coca-Cola Company purchased the brand in 2005 ) .,,0,"Flavors include carrot orange , citrus , honey lemon , lemon , orange , watermelon , and Coca-cola .",
107,117,Archivist,after the Coca-Cola Company purchased the brand in 2005 ) .,,0,"This drink is known to be created for sports people after doing exercise , but also it is great for any other kind of people , as it 's refreshing .",
108,118,Archivist,"An archivist ( `` AR-kiv-ist '' or `` AR-kive-ist '' ) is a professional who assesses , collects , organizes , preserves , maintains control over , and provides access to information determined to have long-term value .",,1,"An archivist is a professional who collects , organizes , preserves , maintains control over , and provides access to information determined to have long-term value .",
109,119,Archivist,"An archivist ( `` AR-kiv-ist '' or `` AR-kive-ist '' ) is a professional who assesses , collects , organizes , preserves , maintains control over , and provides access to information determined to have long-term value .",,0,"The information maintained by an archivist can be any form of media ( photographs , video or sound recordings , letters , documents , electronic records , etc. ) .",
110,120,Archivist,"As Richard Pearce-Moses wrote , `` Archivists keep records that have enduring value as reliable memories of the past , and they help people find and understand the information they need in those records . ''",,0,"An archivist is a professional who collects , organizes , preserves , maintains control over , and provides access to information determined to have long-term value .",
111,121,Archivist,"As Richard Pearce-Moses wrote , `` Archivists keep records that have enduring value as reliable memories of the past , and they help people find and understand the information they need in those records . ''",,0,"The information maintained by an archivist can be any form of media ( photographs , video or sound recordings , letters , documents , electronic records , etc. ) .",
112,122,Archivist,"As Richard Pearce-Moses wrote , `` Archivists keep records that have enduring value as reliable memories of the past , and they help people find and understand the information they need in those records . ''",,1,"As Richard Pearce-Moses wrote , `` Archivists keep records that have enduring value as reliable memories of the past , and they help people find and understand the information they need in those records . ''",
113,123,Archivist,"As Richard Pearce-Moses wrote , `` Archivists keep records that have enduring value as reliable memories of the past , and they help people find and understand the information they need in those records . ''",,0,Determining what records have enduring value is not always easy .,
114,124,Archivist,"An archivist ( `` AR-kiv-ist '' or `` AR-kive-ist '' ) is a professional who assesses , collects , organizes , preserves , maintains control over , and provides access to information determined to have long-term value .",,0,The theory and scholarly work underpinning archives practices is called archival science .,
115,125,Archivist,"The information maintained by an archivist can be any form of media ( photographs , video or sound recordings , letters , documents , electronic records , etc. ) .",,0,"An archivist is a professional who collects , organizes , preserves , maintains control over , and provides access to information determined to have long-term value .",
116,126,Archivist,"The information maintained by an archivist can be any form of media ( photographs , video or sound recordings , letters , documents , electronic records , etc. ) .",,1,"The information maintained by an archivist can be any form of media ( photographs , video or sound recordings , letters , documents , electronic records , etc. ) .",
117,127,Archivist,"The information maintained by an archivist can be any form of media ( photographs , video or sound recordings , letters , documents , electronic records , etc. ) .",,0,"As Richard Pearce-Moses wrote , `` Archivists keep records that have enduring value as reliable memories of the past , and they help people find and understand the information they need in those records . ''",
118,128,Archivist,"Alongside their work behind the scenes arranging and caring for collections , archivists assist users in interpreting collections and answering inquiries .",,0,"An archivist is a professional who collects , organizes , preserves , maintains control over , and provides access to information determined to have long-term value .",
119,129,Archivist,"Alongside their work behind the scenes arranging and caring for collections , archivists assist users in interpreting collections and answering inquiries .",,0,"The information maintained by an archivist can be any form of media ( photographs , video or sound recordings , letters , documents , electronic records , etc. ) .",
120,130,Archivist,"Alongside their work behind the scenes arranging and caring for collections , archivists assist users in interpreting collections and answering inquiries .",,1,"As Richard Pearce-Moses wrote , `` Archivists keep records that have enduring value as reliable memories of the past , and they help people find and understand the information they need in those records . ''",
121,131,Archivist,"Alongside their work behind the scenes arranging and caring for collections , archivists assist users in interpreting collections and answering inquiries .",,0,Determining what records have enduring value is not always easy .,
122,132,Archivist,Determining what records have enduring value can be challenging .,,0,"The information maintained by an archivist can be any form of media ( photographs , video or sound recordings , letters , documents , electronic records , etc. ) .",
123,133,Archivist,Determining what records have enduring value can be challenging .,,0,"As Richard Pearce-Moses wrote , `` Archivists keep records that have enduring value as reliable memories of the past , and they help people find and understand the information they need in those records . ''",
124,134,Archivist,Determining what records have enduring value can be challenging .,,1,Determining what records have enduring value is not always easy .,
125,135,Archivist,Determining what records have enduring value can be challenging .,,0,"Archivists must also select records valuable enough to justify the costs of storage and preservation , plus the labor intensive expenses of arrangement , description , and reference service .",
126,136,Arsenic_triiodide,It is a dark red solid that readily sublimes .,,0,It has arsenic and iodide ions in it .,
127,137,Arsenic_triiodide,It is a dark red solid that readily sublimes .,,0,The arsenic is in its +3 oxidation state .,
128,138,Arsenic_triiodide,It is a dark red solid that readily sublimes .,,1,Arsenic triiodide is a orange-red solid .,
129,139,Arsenic_triiodide,It is a dark red solid that readily sublimes .,,1,It easily sublimes .,
130,143,Arsenic_triiodide,It is a dark red solid that readily sublimes .,,0,It dissolves in water and reacts very slowly to make arsenious acid and hydroiodic acid .,
